episodio,reward_total,epsilon,buffer,loss
60,29.166666666666337,0.049911691230058335,6874,4.4891192889021285
61,-0.035153583617702155,0.049911691230058335,6931,5.154478847980499
62,-0.2241830065359008,0.049911691230058335,7008,4.040389760544426
63,-0.2749999999999614,0.049911691230058335,7061,5.630219404514019
64,-0.17323943661965985,0.049911691230058335,7132,3.47479190826416
65,-0.07759197324410505,0.049911691230058335,7188,3.349148585579612
66,0.9615384615382633,0.049911691230058335,7313,3.7191129903639517
67,61.09154929577559,0.049911691230058335,7438,3.5151762323033426
68,44.64285714285707,0.049911691230058335,7563,3.128083542470009
69,34.442446043165056,0.049911691230058335,7688,2.669859109386321
70,-0.17615894039747076,0.049911691230058335,7810,3.224995069267336
71,33.269230769230404,0.049911691230058335,7935,2.4071410807871048
72,103.76394052044708,0.049911691230058335,8060,2.837367844197058
73,33.674377224198885,0.049911691230058335,8185,2.7608136678895643
74,87.07272727272763,0.049911691230058335,8319,2.6931772254463424
75,5.204626334519396,0.049911691230058335,8444,2.794172686915244
76,170.37534246575623,0.049911691230058335,8698,3.1845882141543
77,121.55886524822856,0.049911691230058335,8872,2.855473060828413
78,60.47297297297406,0.049911691230058335,8997,2.568910067119906
79,45.83333333333347,0.049911691230058335,9122,2.3857218498183834
80,86.21134020618689,0.049911691230058335,9247,2.85983720037245
81,48.48726114649688,0.049911691230058335,9372,2.764478459473579
82,57.496721311475284,0.049911691230058335,9541,2.7420959848733175
83,39.177316293929344,0.049911691230058335,9666,2.7326630248177435
84,101.48305084745878,0.049911691230058335,9791,2.493096056484407
85,110.04098360655871,0.049911691230058335,9916,2.55938781076862
86,93.70567375886635,0.049911691230058335,10041,2.8629225886637166
87,98.19321533923416,0.049911691230058335,10166,2.9457607048173107
88,10.423322683705784,0.049911691230058335,10291,3.1644746968823094
89,4.325095057033993,0.049911691230058335,10416,2.951197010855521
90,140.3652996845441,0.049911691230058335,10558,3.061928037210559
91,153.6764705882367,0.049911691230058335,10683,3.156128547845348
92,36.57407407407374,0.049911691230058335,10808,3.384458219812762
93,85.64285714285845,0.049911691230058335,10963,3.341430164776839
94,21.69003115264762,0.049911691230058335,11088,2.9827570376857633
95,170.23846153846318,0.049911691230058335,11259,3.006113899455351
96,56.35113268608455,0.049911691230058335,11384,3.518136824330976
97,33.05214723926343,0.049911691230058335,11509,3.320000923448993
98,17.40196078431331,0.049911691230058335,11634,3.1155998206907705
99,30.02411575562663,0.049911691230058335,11759,3.1478640427512508
100,23.310810810810388,0.049911691230058335,11884,2.9817836457683193
101,122.39376947040557,0.049911691230058335,12016,3.5859931225085075
102,72.79411764706012,0.049911691230058335,12141,3.5869877473000558
