episodio,reward_total,epsilon,buffer,loss
49,67.45626822157556,0.049911691230058335,8298,1.9206699959693416
50,211.33728813559458,0.049911691230058335,8441,1.8839795446731675
51,381.1888888888845,0.049911691230058335,8675,2.11386863151845
52,313.17972508590435,0.049911691230058335,8914,2.034076896034369
53,113.37719298245759,0.049911691230058335,9039,2.110105740447198
54,625.5639097744235,0.049911691230058335,9373,2.050159673433046
55,719.8529411764556,0.049911691230058335,9707,2.054436096199998
56,718.1818181818056,0.049911691230058335,10041,2.3276917809122675
57,443.54354354353586,0.049911691230058335,10375,2.2438858751062156
58,39.42307692307668,0.049911691230058335,10500,2.201816157948586
59,622.7722772277127,0.049911691230058335,10834,2.1938983141122996
60,543.0868167202465,0.049911691230058335,11168,2.1436484529449418
61,474.8684563758338,0.049911691230058335,11386,2.491030676573652
62,278.2588424437283,0.049911691230058335,11541,2.306142647545059
63,91.03333333333418,0.049911691230058335,11682,2.4524793812206815
64,130.2526315789486,0.049911691230058335,11818,2.309694934774328
65,494.3810810810716,0.049911691230058335,12107,2.275697470539146
66,441.9666666666593,0.049911691230058335,12356,2.621025812241339
67,131.67293233082867,0.049911691230058335,12481,2.5526994735963884
68,614.2857142856991,0.049911691230058335,12815,2.5109763345918856
69,235.79293680297542,0.049911691230058335,12946,2.527608674306136
70,-0.04291187739458491,0.049911691230058335,13010,2.578498543254913
71,821.6417910447587,0.049911691230058335,13344,2.653039968049562
72,123.21428571428731,0.049911691230058335,13469,2.5552020918938423
73,56.01331058020605,0.049911691230058335,13575,2.5349972009658814
74,278.9926421404673,0.049911691230058335,13771,5.311308198097425
75,676.271186440666,0.049911691230058335,14105,3.309180963146794
76,366.7515723270398,0.049911691230058335,14350,4.126367247495495
77,517.0070422535149,0.049911691230058335,14575,4.021925476512739
78,-0.09152542372886185,0.049911691230058335,14677,2.8180468578149775
79,698.1764705882264,0.049911691230058335,14987,2.761061793777935
80,505.40817843865364,0.049911691230058335,15223,4.778020348447434
81,352.84999999999786,0.049911691230058335,15401,3.2651892442487727
82,366.38965517240746,0.049911691230058335,15582,5.2805912335713705
83,723.4405797101382,0.049911691230058335,15900,4.107582991431564
